symbol,socialScore,governanceScore,environmentScore,totalEsg,esgPerformance,percentile,peerGroup,highestControversy
DG,13.07,4.27,3.86,21.2,AVG_PERF,,Retailing,3.0
DGX,13.06,7.12,0.31,20.49,AVG_PERF,,Healthcare,3.0
DHI,6.44,5.21,9.99,21.64,AVG_PERF,,Homebuilders,2.0
DHR,3.32,4.21,0.99,8.52,LAG_PERF,,Pharmaceuticals,2.0
DIS,9.09,5.96,0.09,15.14,LAG_PERF,,Media,2.0
DLR,2.77,5.73,4.13,12.63,LAG_PERF,,Real Estate,0.0
DLTR,13.01,2.55,3.23,18.8,LAG_PERF,,Retailing,2.0
DOV,12.55,4.43,7.47,24.45,AVG_PERF,,Machinery,0.0
DOW,3.37,4.33,11.92,19.62,LAG_PERF,,Chemicals,3.0
DPZ,11.85,5.71,9.93,27.49,AVG_PERF,,Consumer Services,2.0
DRI,12.77,3.73,10.96,27.46,AVG_PERF,,Consumer Services,2.0
DTE,11.84,5.58,13.86,31.28,LEAD_PERF,,Utilities,2.0
DUK,10.03,2.91,13.85,26.79,AVG_PERF,,Utilities,2.0
DVA,14.44,7.27,0.07,21.78,AVG_PERF,,Healthcare,2.0
DVN,8.04,6.12,17.4,31.55,LEAD_PERF,,Oil & Gas Producers,2.0
DXCM,10.07,8.19,3.45,21.72,AVG_PERF,,Healthcare,1.0
EA,8.43,4.22,0.31,12.96,LAG_PERF,,Software & Services,1.0
EBAY,8.05,4.44,2.71,15.2,LAG_PERF,,Software & Services,2.0
ECL,7.25,5.56,11.06,23.86,AVG_PERF,,Chemicals,2.0
ED,8.65,4.52,7.94,21.11,AVG_PERF,,Utilities,2.0
EFX,16.75,5.23,0.23,22.21,AVG_PERF,,Commercial Services,2.0
EG,6.67,9.91,1.39,17.96,UNDER_PERF,20.35,Insurance,1.0
EIX,12.11,3.48,8.38,23.97,AVG_PERF,,Utilities,3.0
EL,10.52,7.9,5.59,24.01,AVG_PERF,,Household Products,2.0
ELV,5.33,4.58,0.09,9.99,LAG_PERF,,Healthcare,2.0
EMN,6.57,4.89,13.28,24.74,AVG_PERF,,Chemicals,2.0
EMR,12.6,4.13,6.05,22.79,AVG_PERF,,Machinery,1.0
ENPH,8.81,6.25,4.84,19.9,LAG_PERF,,Electrical Equipment,1.0
EOG,6.51,6.53,21.34,34.38,LEAD_PERF,,Oil & Gas Producers,2.0
EPAM,16.47,6.06,4.84,27.36,AVG_PERF,,Software & Services,0.0
EQIX,4.76,4.82,3.56,13.14,LAG_PERF,,Real Estate,1.0
EQR,2.95,5.27,3.2,11.43,LAG_PERF,,Real Estate,1.0
EQT,9.29,5.79,16.61,31.69,LEAD_PERF,,Oil & Gas Producers,1.0
ERIE,11.52,13.56,2.82,27.91,AVG_PERF,,Insurance,1.0
ES,8.17,5.82,4.1,18.08,LAG_PERF,,Utilities,2.0
ESS,2.93,5.31,3.38,11.61,LAG_PERF,,Real Estate,1.0
ETN,9.26,4.03,7.76,21.05,AVG_PERF,,Electrical Equipment,2.0
ETR,7.48,4.1,13.29,24.88,AVG_PERF,,Utilities,2.0
EVRG,10.64,4.88,13.73,29.24,AVG_PERF,,Utilities,1.0
EW,13.41,5.33,2.96,21.7,AVG_PERF,,Healthcare,2.0
EXC,8.1,4.33,6.36,18.79,LAG_PERF,,Utilities,3.0
